winner,turns,moves
white,7,"WC2(0,0);BC1(0,1);WC4(2,1);BC5(2,0);WM4(2,1)-(1,1);BC2(1,0);WC1(2,2)"
white,7,"WC4(2,2);BC3(1,1);WC1(0,1);BC3(2,1);WC2(0,2);BM3(1,1)-(0,1);WC6(1,2)"
white,7,"WC4(2,2);BC1(2,1);WC2(2,0);BC3(0,0);WC6(1,2);BC2(1,0);WC1(0,2)"
white,7,"WC1(2,2);BC2(1,2);WC4(0,2);BC3(2,1);WC6(1,1);BC3(0,1);WC2(0,0)"
white,5,"WC2(0,0);BC3(2,1);WC4(1,0);BC2(1,1);WC1(2,0)"
white,5,"WC1(1,1);BC3(2,0);WC2(2,1);BC2(2,2);WC4(0,1)"
white,5,"WC4(1,1);BC3(2,1);WC6(2,2);BC5(1,0);WC1(0,0)"
white,5,"WC4(2,1);BC2(0,0);WC6(2,0);BM2(0,0)-(1,0);WC1(2,2)"
black,8,"WC2(0,2);BC2(0,0);WC1(2,2);BC5(1,2);WC4(1,0);BC2(1,1);WC6(2,1);BM5(1,2)-(2,2)"
black,8,"WC2(0,1);BC3(2,2);WC6(2,1);BC1(1,1);WM6(2,1)-(2,2);BC2(2,1);WM2(0,1)-(0,2);BC2(0,1)"
black,10,"WC1(2,1);BC2(1,2);WM1(2,1)-(2,2);BC3(2,0);WC6(1,0);BC1(1,1);WC2(0,2);BM2(1,2)-(2,2);WM6(1,0)-(1,1);BC2(2,1)"
black,6,"WC6(1,2);BC3(0,2);WC2(2,0);BC1(0,1);WC1(1,0);BC2(0,0)"
black,6,"WC2(2,1);BC5(2,0);WC6(2,2);BC1(1,0);WC1(0,2);BC2(0,0)"
black,6,"WC6(0,2);BC3(2,2);WM6(0,2)-(1,2);BC1(2,1);WM6(1,2)-(0,2);BC2(2,0)"
white,7,"WC4(0,0);BC5(2,2);WC2(2,1);BC2(0,1);WC1(2,0);BM5(2,2)-(2,1);WC6(1,0)"
black,6,"WC2(0,2);BC3(2,2);WC6(2,0);BC5(1,1);WC1(2,1);BC1(0,0)"
black,6,"WC4(0,2);BC3(0,0);WC2(1,2);BC2(2,2);WC1(1,0);BC1(1,1)"
white,9,"WC1(1,2);BC1(2,1);WC6(2,0);BC5(2,2);WC4(0,0);BC2(1,0);WM1(1,2)-(1,1);BM5(2,2)-(1,2);WC2(0,2)"
black,8,"WC4(2,2);BC5(0,0);WC2(0,2);BC2(1,2);WM4(2,2)-(2,1);BC3(1,1);WM4(2,1)-(2,0);BC1(1,0)"
white,5,"WC1(0,2);BC3(2,1);WC6(2,2);BC1(1,0);WC2(1,2)"
white,5,"WC6(1,0);BC5(2,2);WC4(0,0);BC3(0,1);WC1(2,0)"
white,5,"WC6(0,1);BC1(0,2);WC1(2,1);BC3(2,0);WC2(1,1)"
white,5,"WC2(0,1);BC1(2,1);WC1(0,2);BC3(1,1);WC4(0,0)"
white,5,"WC6(1,2);BC2(0,0);WC1(1,0);BC3(2,0);WC2(1,1)"
white,5,"WC1(0,0);BC3(0,1);WC4(1,0);BC3(0,2);WC2(2,0)"
white,7,"WC1(2,0);BC3(1,1);WC6(1,0);BC3(0,0);WM6(1,0)-(0,0);BC2(2,1);WC2(1,0)"
black,6,"WC6(0,0);BC1(1,1);WC4(1,2);BC2(2,0);WC2(2,1);BC2(0,2)"
white,5,"WC4(2,0);BC3(0,1);WC6(1,0);BC5(2,1);WC1(0,0)"
white,7,"WC4(0,1);BC3(2,0);WC6(2,2);BC2(1,0);WC1(0,0);BC3(0,2);WC2(1,1)"
black,6,"WC6(0,1);BC3(0,2);WM6(0,1)-(0,0);BC2(1,2);WM6(0,0)-(0,1);BC1(2,2)"
white,5,"WC6(2,1);BC1(2,2);WC1(1,1);BM1(2,2)-(1,2);WC2(0,1)"
white,7,"WC4(2,0);BC3(0,2);WC6(1,2);BC2(2,1);WC2(1,0);BC2(1,1);WC1(0,0)"
black,6,"WC2(2,1);BC5(1,2);WC1(2,0);BC2(2,2);WM2(2,1)-(2,0);BC1(0,2)"
white,5,"WC6(0,2);BC3(2,0);WC2(2,2);BC3(1,1);WC1(1,2)"
white,5,"WC1(1,2);BC5(0,0);WC6(2,2);BC3(1,1);WC2(0,2)"
white,5,"WC1(1,0);BC3(2,2);WC4(1,2);BC3(0,0);WC2(1,1)"
white,7,"WC6(1,0);BC3(0,0);WC1(0,2);BC2(2,1);WC4(2,2);BC5(1,1);WC2(1,2)"
black,6,"WC4(1,2);BC2(1,0);WC2(1,1);BC3(2,0);WC1(0,2);BC1(0,0)"
white,7,"WC1(0,0);BC2(2,0);WC4(0,2);BC3(0,1);WC2(1,2);BC1(1,1);WC6(2,2)"
black,6,"WC4(2,1);BC1(0,2);WM4(2,1)-(2,0);BC3(0,1);WC6(2,1);BC2(0,0)"
white,7,"WC2(1,2);BC2(0,1);WC1(2,0);BC3(0,0);WC4(0,2);BC3(2,1);WC6(1,1)"
white,7,"WC4(0,2);BC2(0,1);WC2(2,2);BC3(1,2);WC6(2,1);BC3(0,0);WC1(2,0)"
black,8,"WC6(1,2);BC1(1,0);WC1(1,1);BC3(0,2);WC4(2,2);BC3(0,0);WM1(1,1)-(2,1);BC2(0,1)"
white,7,"WC1(2,0);BC3(0,2);WC6(1,1);BC5(2,2);WC4(1,2);BC1(0,0);WC2(1,0)"
white,7,"WC4(2,0);BC5(1,2);WC1(0,1);BC3(0,0);WM1(0,1)-(1,1);BC3(2,1);WC2(0,2)"
white,5,"WC4(0,0);BC1(1,0);WC1(1,1);BC3(2,0);WC2(2,2)"
black,6,"WC2(2,1);BC2(0,0);WC1(0,2);BC5(2,2);WC4(1,0);BC1(1,1)"
black,12,"WC2(0,0);BC2(2,1);WC4(2,0);BC3(1,0);WM4(2,0)-(2,1);BC5(2,2);WM4(2,1)-(2,0);BC1(0,1);WC6(2,1);BC2(0,2);WC1(1,1);BC3(1,2)"
white,5,"WC2(1,1);BC1(2,0);WC6(0,1);BC3(2,2);WC1(2,1)"
white,5,"WC2(2,0);BC3(0,2);WC4(0,0);BC2(1,1);WC1(1,0)"
white,5,"WC6(1,0);BC5(0,0);WC2(1,2);BC3(2,1);WC1(1,1)"
white,7,"WC6(0,0);BC5(1,2);WC4(0,2);BC3(0,1);WC2(2,2);BC2(2,0);WC1(1,1)"
black,8,"WC4(0,1);BC2(1,0);WC1(2,2);BC5(0,2);WC2(1,2);BC1(2,0);WM2(1,2)-(2,2);BC2(0,0)"
black,8,"WC2(2,0);BC5(1,0);WC4(0,1);BM5(1,0)-(1,1);WC6(0,2);BC3(0,0);WC1(1,0);BC1(2,2)"
white,7,"WC4(0,1);BC5(1,1);WC6(1,2);BC1(1,0);WC2(0,2);BC2(2,0);WC1(0,0)"
white,5,"WC4(1,0);BC3(2,2);WC6(2,0);BC3(1,2);WC1(0,0)"
black,6,"WC6(2,1);BC3(0,0);WM6(2,1)-(2,0);BC3(0,1);WC1(1,0);BC1(0,2)"
white,5,"WC6(2,2);BC2(0,1);WC4(0,0);BC5(1,2);WC1(1,1)"
white,5,"WC2(2,2);BC5(1,0);WC1(1,2);BC3(0,0);WC4(0,2)"
black,8,"WC1(1,0);BC5(2,1);WM1(1,0)-(2,0);BC2(0,2);WC4(0,1);BC3(2,2);WC2(1,1);BC1(1,2)"
white,7,"WC1(2,1);BC1(0,1);WC6(1,2);BC3(2,2);WC4(1,1);BC5(2,0);WC2(1,0)"
white,7,"WC1(2,2);BC5(2,0);WC4(1,2);BC3(0,2);WM4(1,2)-(1,1);BC2(2,1);WC2(0,0)"
white,5,"WC4(1,2);BC1(0,2);WC1(2,2);BM1(0,2)-(0,1);WC2(0,2)"
white,5,"WC1(0,0);BC2(2,1);WC2(2,2);BC2(1,0);WC4(1,1)"
white,7,"WC1(2,2);BC3(1,2);WC6(0,2);BC5(0,1);WM6(0,2)-(1,2);BC2(2,0);WC2(0,2)"
black,8,"WC1(1,2);BC3(1,1);WC6(2,0);BC5(1,0);WM6(2,0)-(2,1);BC1(0,0);WC2(2,0);BC2(2,2)"
white,5,"WC2(2,2);BC5(2,0);WC1(1,1);BC3(1,2);WC4(0,0)"
white,5,"WC1(0,2);BC3(2,2);WC2(0,1);BC2(1,0);WC4(0,0)"
black,6,"WC2(0,0);BC1(0,2);WC4(2,1);BC2(1,1);WC1(0,1);BC2(2,0)"
black,6,"WC4(1,0);BC3(2,1);WM4(1,0)-(0,0);BC5(2,2);WC2(1,2);BC1(2,0)"
white,5,"WC6(1,1);BC3(0,0);WC1(0,1);BC2(1,0);WC2(2,1)"
white,7,"WC6(0,2);BC3(1,1);WC4(0,1);BC3(0,0);WC1(2,2);BC5(2,0);WC2(1,2)"
white,5,"WC6(2,2);BC2(1,0);WC4(0,0);BC3(2,1);WC1(1,1)"
white,9,"WC2(2,1);BC1(2,2);WC4(1,2);BC5(0,1);WM2(2,1)-(2,0);BM5(0,1)-(0,2);WC1(2,1);BC2(1,0);WM4(1,2)-(2,2)"
black,6,"WC1(0,2);BC3(0,0);WC2(2,1);BC2(1,0);WC4(2,2);BC1(2,0)"
white,5,"WC6(0,0);BC2(2,2);WC2(2,0);BC3(2,1);WC1(1,0)"
white,7,"WC4(0,1);BC5(1,1);WC1(2,2);BC3(2,1);WC6(1,2);BC3(0,0);WC2(0,2)"
white,5,"WC4(2,2);BC2(1,1);WC1(0,2);BC5(0,1);WC2(1,2)"
black,8,"WC2(2,0);BC2(1,0);WC1(1,2);BC5(2,2);WM1(1,2)-(0,2);BC3(1,1);WM2(2,0)-(2,1);BC1(0,0)"
white,5,"WC6(0,0);BC3(1,2);WC1(1,1);BC1(2,1);WC2(2,2)"
white,5,"WC1(1,1);BC3(2,0);WC4(1,0);BC3(2,2);WC2(1,2)"
white,5,"WC6(0,2);BC1(0,0);WC2(2,0);BC3(1,0);WC1(1,1)"
white,5,"WC4(2,1);BC5(1,1);WC1(2,2);BC2(0,2);WC2(2,0)"
white,5,"WC6(2,0);BC5(1,0);WC4(0,2);BC3(2,2);WC1(1,1)"
black,6,"WC6(2,1);BC3(0,2);WC2(2,0);BC2(2,2);WC4(0,0);BC1(1,2)"
white,5,"WC4(0,0);BC5(0,1);WC2(2,2);BC1(0,2);WC1(1,1)"
white,5,"WC4(2,1);BC3(1,2);WC2(2,2);BC1(0,0);WC1(2,0)"
white,5,"WC4(2,2);BC2(1,0);WC6(1,2);BC3(2,0);WC1(0,2)"
white,9,"WC2(1,0);BC5(1,2);WC6(2,2);BC2(2,0);WC1(2,1);BC1(0,0);WC4(0,1);BC3(0,2);WM2(1,0)-(1,1)"
white,5,"WC6(0,2);BC2(2,1);WC4(1,2);BC1(1,1);WC1(2,2)"
black,8,"WC2(2,1);BC2(2,0);WC4(0,0);BC3(2,2);WM4(0,0)-(1,0);BC1(1,1);WC6(1,2);BC2(0,0)"
white,5,"WC1(0,2);BC2(1,1);WC2(0,1);BC5(2,2);WC4(0,0)"
black,6,"WC6(2,2);BC3(0,2);WM6(2,2)-(2,1);BC3(1,2);WC4(0,1);BC1(2,2)"
black,6,"WC4(1,0);BC1(0,0);WC1(2,2);BC3(0,2);WM4(1,0)-(2,0);BC2(0,1)"
white,5,"WC1(2,2);BC2(2,0);WC2(0,2);BC1(2,1);WC4(1,2)"
black,6,"WC6(0,1);BC2(2,2);WC4(0,0);BC1(0,2);WC2(2,0);BC2(1,2)"
white,7,"WC1(1,0);BC2(2,2);WC6(0,2);BC2(1,1);WC2(0,0);BC1(2,0);WC4(0,1)"
white,5,"WC4(2,0);BC3(2,2);WC2(0,2);BC2(2,1);WC1(1,1)"
white,5,"WC4(0,1);BC2(1,0);WC1(2,1);BC2(2,2);WC2(1,1)"
black,6,"WC4(0,2);BC2(1,2);WM4(0,2)-(0,1);BC1(2,2);WC1(2,0);BC2(0,2)"
white,7,"WC1(2,2);BC2(0,0);WC4(0,1);BC3(0,2);WC2(2,1);BC2(2,0);WC6(1,1)"
white,7,"WC1(0,0);BC2(2,0);WC4(2,1);BC3(0,1);WC6(1,1);BC1(2,2);WM4(2,1)-(2,2)"
black,6,"WC2(2,2);BC5(2,1);WC1(2,0);BC3(1,1);WC6(0,2);BC1(0,1)"
white,7,"WC4(1,2);BC2(0,0);WC1(0,1);BC2(2,1);WC2(1,0);BC1(0,2);WC6(1,1)"
black,6,"WC1(0,0);BC3(1,1);WC6(2,1);BC1(2,2);WM1(0,0)-(0,1);BC2(0,0)"
white,5,"WC2(1,2);BC3(0,0);WC4(1,0);BC1(2,2);WC1(1,1)"
black,6,"WC1(1,2);BC3(2,2);WC4(0,2);BC5(2,0);WC6(0,0);BC1(2,1)"
black,6,"WC1(1,0);BC3(0,1);WC4(2,1);BC2(1,1);WM4(2,1)-(2,0);BC1(2,1)"
white,5,"WC2(1,2);BC3(2,0);WC1(1,1);BC5(0,2);WC4(1,0)"
black,6,"WC6(2,0);BC5(0,2);WC1(1,0);BC3(0,0);WC4(1,1);BC1(0,1)"
white,5,"WC2(1,1);BC1(2,2);WC4(2,1);BC2(2,0);WC1(0,1)"
white,7,"WC6(1,1);BC2(1,0);WC4(1,2);BC3(2,0);WC1(0,0);BC2(0,1);WC2(2,2)"
white,5,"WC2(0,0);BC3(2,2);WC4(0,1);BC2(2,0);WC1(0,2)"
white,5,"WC4(0,2);BC3(0,0);WC2(1,2);BC2(2,0);WC1(2,2)"
white,5,"WC6(1,1);BC5(0,1);WC1(1,0);BC2(2,1);WC2(1,2)"
white,7,"WC1(0,1);BC1(0,0);WC4(1,0);BC3(0,2);WC6(1,2);BC5(2,2);WC2(1,1)"
white,5,"WC2(1,2);BC2(2,1);WC1(1,0);BC1(2,2);WC4(1,1)"
white,5,"WC1(2,0);BC5(1,1);WC2(1,0);BC1(1,2);WC4(0,0)"
white,5,"WC6(1,2);BC1(0,0);WC2(1,0);BC3(2,1);WC1(1,1)"
black,6,"WC2(0,0);BC2(1,1);WC4(1,0);BC3(2,0);WC1(2,1);BC1(0,2)"
white,5,"WC1(1,0);BC3(1,1);WC2(0,0);BM3(1,1)-(2,1);WC4(2,0)"
black,6,"WC6(0,2);BC2(0,0);WC4(2,1);BC2(2,2);WC1(2,0);BC1(1,1)"
white,9,"WC2(2,1);BC3(1,1);WC6(0,1);BM3(1,1)-(2,1);WC4(2,2);BC2(0,0);WC1(1,1);BM2(0,0)-(1,0);WM6(0,1)-(0,0)"
white,7,"WC4(2,1);BC2(1,2);WC6(1,0);BC2(1,1);WC1(2,2);BC3(0,2);WC2(2,0)"
black,8,"WC6(2,0);BC3(1,2);WC4(0,1);BM3(1,2)-(1,1);WM6(2,0)-(1,0);BC1(0,0);WC1(1,2);BC2(2,2)"
black,6,"WC1(0,2);BC1(1,1);WC6(1,0);BC3(0,1);WC2(0,0);BC2(2,1)"
black,6,"WC4(2,0);BC3(2,2);WM4(2,0)-(2,1);BC2(1,2);WC6(0,0);BC1(0,2)"
white,5,"WC6(2,2);BC3(0,0);WC1(2,0);BC2(0,1);WC2(2,1)"
white,7,"WC4(2,2);BC3(1,1);WC2(0,1);BC3(2,1);WC1(0,0);BC1(1,0);WC6(0,2)"
white,5,"WC1(2,1);BC3(1,0);WC4(2,0);BC2(1,2);WC2(2,2)"
black,8,"WC4(0,2);BC2(2,2);WC2(0,0);BC5(0,1);WC6(1,2);BC3(2,0);WM6(1,2)-(0,2);BC1(2,1)"
white,7,"WC4(1,2);BC2(1,0);WC1(0,0);BC5(0,2);WC2(1,1);BC2(2,0);WC6(2,2)"
white,5,"WC4(0,2);BC3(1,1);WC2(2,0);BM3(1,1)-(2,1);WC1(1,1)"
black,6,"WC1(2,0);BC3(2,2);WC6(0,1);BC2(0,2);WC2(1,1);BC1(1,2)"
white,7,"WC1(0,0);BC5(0,1);WC4(1,0);BC3(2,0);WC2(1,2);BM3(2,0)-(2,1);WC6(1,1)"
black,6,"WC4(0,2);BC2(2,2);WC2(1,0);BC1(1,1);WC6(2,1);BC2(0,0)"
white,9,"WC2(0,1);BC2(0,2);WC6(2,2);BC3(1,0);WC4(2,0);BC2(2,1);WC1(1,1);BC1(0,0);WM2(0,1)-(0,0)"
white,5,"WC1(1,0);BC5(2,1);WC6(0,0);BC3(2,2);WC2(2,0)"
black,12,"WC4(1,1);BC2(2,2);WC2(1,2);BC1(1,0);WC1(2,0);BC5(0,2);WM4(1,1)-(1,2);BC3(2,1);WC6(0,1);BC3(1,1);WM6(0,1)-(0,2);BC2(0,0)"
white,9,"WC2(2,2);BC2(1,2);WC1(1,0);BC3(0,0);WC6(1,1);BC1(2,1);WM6(1,1)-(2,1);BC2(1,1);WC4(2,0)"
white,5,"WC6(1,2);BC1(2,1);WC1(1,1);BC5(2,0);WC2(1,0)"
black,6,"WC6(1,2);BC1(0,0);WC1(0,1);BC2(2,0);WC2(1,1);BC2(1,0)"
white,7,"WC6(0,1);BC3(2,1);WC4(2,0);BC3(1,1);WC1(0,2);BC2(0,0);WM6(0,1)-(1,1)"
white,9,"WC1(2,1);BC2(0,1);WM1(2,1)-(2,2);BC2(1,2);WC6(1,1);BC5(0,0);WC2(0,2);BC1(1,0);WC4(2,0)"
black,6,"WC6(2,1);BC2(0,0);WC2(1,0);BC5(0,2);WM6(2,1)-(2,0);BC1(0,1)"
white,5,"WC6(2,0);BC3(0,0);WC4(2,1);BC5(1,2);WC1(2,2)"
white,5,"WC4(0,1);BC5(1,1);WC2(0,0);BC2(1,2);WC1(0,2)"
black,6,"WC6(0,1);BC1(0,0);WC2(2,2);BC3(2,0);WC1(1,2);BC2(1,0)"
white,5,"WC1(0,0);BC2(1,2);WC2(2,2);BC3(0,1);WC4(1,1)"
black,6,"WC1(0,0);BC2(1,0);WC6(2,0);BC1(1,2);WC4(0,1);BC2(1,1)"
white,5,"WC1(1,1);BC3(2,2);WC4(0,2);BC2(1,0);WC2(2,0)"
white,5,"WC6(2,0);BC3(1,1);WC1(1,0);BC1(1,2);WC2(0,0)"
white,5,"WC4(1,1);BC2(0,0);WC2(0,2);BC3(2,1);WC1(2,0)"
white,7,"WC6(0,1);BC2(2,1);WM6(0,1)-(1,1);BC2(2,2);WC4(2,0);BC1(0,1);WC1(0,2)"
black,6,"WC1(2,2);BC2(1,2);WC2(0,2);BC5(1,0);WC6(2,1);BC1(1,1)"
black,6,"WC6(2,2);BC5(1,1);WC4(2,1);BC2(2,0);WM6(2,2)-(2,1);BC1(0,2)"
black,8,"WC6(2,0);BC3(0,0);WC2(0,1);BC2(1,2);WC1(1,0);BC3(1,1);WM2(0,1)-(0,2);BC1(2,2)"
white,5,"WC6(2,2);BC1(0,1);WC1(1,1);BC3(0,2);WC2(0,0)"
black,6,"WC6(0,1);BC3(1,0);WC2(1,2);BC3(0,0);WC1(2,1);BC1(2,0)"
white,5,"WC6(1,1);BC5(1,0);WC2(2,2);BC2(1,2);WC1(0,0)"
black,6,"WC4(1,1);BC1(0,1);WC6(2,0);BC5(0,2);WC1(1,0);BC2(0,0)"
black,8,"WC2(2,1);BC5(2,0);WC6(0,0);BC3(0,1);WC4(1,0);BC2(1,1);WM2(2,1)-(2,2);BC1(0,2)"
white,5,"WC2(1,2);BC3(2,0);WC1(0,2);BC5(0,1);WC4(2,2)"
white,5,"WC6(2,1);BC3(0,1);WC4(2,2);BC5(1,1);WC1(2,0)"
white,5,"WC1(1,2);BC1(2,0);WC6(1,0);BC3(2,2);WC2(1,1)"
white,7,"WC4(1,2);BC5(1,1);WC1(0,0);BC3(2,0);WC6(0,2);BC1(2,2);WC2(0,1)"
white,5,"WC4(2,1);BC2(0,2);WC1(1,1);BC3(0,0);WC2(0,1)"
black,6,"WC4(0,1);BC2(0,0);WC6(2,2);BC2(2,0);WC1(1,2);BC1(1,0)"
black,6,"WC1(1,1);BC3(0,2);WM1(1,1)-(1,0);BC2(0,1);WC4(1,1);BC1(0,0)"
white,5,"WC6(2,1);BC2(0,2);WC1(0,1);BC3(0,0);WC2(1,1)"
white,7,"WC6(1,1);BC2(2,2);WC2(1,2);BC1(1,0);WC1(2,0);BM1(1,0)-(0,0);WC4(0,2)"
white,5,"WC4(0,2);BC2(2,2);WC2(0,1);BC3(1,0);WC1(0,0)"
black,8,"WC4(0,1);BC3(0,0);WC1(2,2);BC5(2,0);WC2(1,0);BC3(2,1);WM1(2,2)-(1,2);BC1(2,2)"
black,6,"WC6(1,1);BC2(2,1);WM6(1,1)-(1,2);BC1(2,0);WC2(1,1);BC2(2,2)"
black,6,"WC2(0,2);BC5(1,1);WC1(0,1);BC3(0,0);WC4(1,2);BC1(2,2)"
white,5,"WC6(0,1);BC5(1,2);WC4(1,1);BC2(0,2);WC1(2,1)"
white,11,"WC1(1,0);BC3(2,0);WC4(0,0);BC5(1,2);WM4(0,0)-(1,0);BM5(1,2)-(2,2);WM4(1,0)-(2,0);BC2(1,2);WC2(0,2);BC3(1,0);WC6(1,1)"
black,8,"WC6(0,0);BC2(1,1);WC1(1,0);BM2(1,1)-(1,0);WC2(2,2);BC1(1,1);WC4(2,0);BC2(1,2)"
white,7,"WC2(2,1);BC5(0,1);WC6(2,0);BC2(2,2);WC1(0,0);BC3(1,2);WC4(1,0)"
white,5,"WC4(0,0);BC1(1,2);WC1(1,1);BC3(1,0);WC2(2,2)"
white,5,"WC1(0,0);BC1(0,2);WC4(2,0);BC3(1,1);WC2(1,0)"
white,5,"WC1(1,0);BC2(2,1);WC4(1,1);BC3(0,0);WC2(1,2)"
white,7,"WC1(0,1);BC3(1,1);WC4(1,0);BC5(2,0);WM4(1,0)-(1,1);BC2(1,2);WC2(2,1)"
white,5,"WC1(2,2);BC2(1,2);WC2(0,0);BC2(1,0);WC4(1,1)"
white,5,"WC4(2,0);BC3(0,2);WC2(1,0);BC3(2,2);WC1(0,0)"
white,5,"WC6(1,1);BC1(0,2);WC4(1,2);BC3(0,1);WC1(1,0)"
white,5,"WC1(0,0);BC5(2,0);WC6(0,1);BC1(2,1);WC2(0,2)"
black,8,"WC2(0,1);BC2(0,0);WC4(1,0);BC3(2,0);WC6(1,2);BC2(1,1);WM4(1,0)-(0,0);BC1(0,2)"
white,7,"WC2(0,0);BC5(0,2);WC4(0,1);BC2(2,1);WC6(1,1);BC3(2,0);WC1(2,2)"
white,5,"WC1(0,2);BC2(1,2);WC2(0,0);BC1(1,1);WC4(0,1)"
white,7,"WC1(1,0);BC3(0,0);WC4(1,2);BC5(1,1);WC2(2,2);BC3(0,1);WC6(0,2)"
white,7,"WC4(2,2);BC5(0,1);WC2(2,1);BC3(2,0);WC1(1,1);BC2(1,0);WC6(0,0)"
white,5,"WC1(1,1);BC2(0,2);WC2(1,2);BC3(2,0);WC4(1,0)"
white,5,"WC1(2,1);BC3(2,0);WC2(0,1);BC1(0,0);WC4(1,1)"
black,6,"WC1(2,2);BC3(1,1);WC6(0,1);BC2(2,0);WC2(1,0);BC1(0,2)"
black,6,"WC4(1,0);BC5(2,2);WM4(1,0)-(0,0);BC2(2,1);WM4(0,0)-(0,1);BC1(2,0)"
white,5,"WC4(2,1);BC3(0,0);WC1(1,1);BC2(0,2);WC2(0,1)"
white,7,"WC1(0,1);BC3(1,2);WC6(2,0);BC2(2,1);WC2(0,0);BC2(0,2);WC4(1,0)"
white,5,"WC2(0,2);BC1(1,2);WC1(0,0);BC2(2,0);WC4(0,1)"
white,5,"WC2(1,1);BC2(0,1);WC1(0,0);BC3(1,0);WC4(2,2)"
black,6,"WC6(0,2);BC5(0,0);WC2(0,1);BC3(1,0);WC4(2,2);BC1(2,0)"
white,5,"WC1(0,0);BC2(2,0);WC4(0,1);BM2(2,0)-(1,0);WC2(0,2)"
white,5,"WC1(2,2);BC3(1,2);WC2(0,0);BC5(2,1);WC4(1,1)"
white,5,"WC2(1,2);BC3(1,1);WC1(2,2);BC3(2,0);WC4(0,2)"
white,7,"WC1(0,0);BC3(2,2);WM1(0,0)-(0,1);BC5(1,1);WC6(0,0);BC2(2,1);WC2(0,2)"
black,6,"WC1(1,2);BC3(2,2);WC2(0,0);BC5(1,1);WM2(0,0)-(1,0);BC1(0,0)"
white,5,"WC2(1,0);BC3(1,2);WC6(2,0);BC2(1,1);WC1(0,0)"
white,7,"WC2(1,0);BC2(0,2);WC4(1,1);BC3(1,2);WM4(1,1)-(1,2);BC3(0,0);WC1(1,1)"
white,5,"WC4(2,1);BC2(0,2);WC1(0,1);BC3(0,0);WC2(1,1)"
black,6,"WC1(0,0);BC1(1,1);WC2(2,1);BC2(2,0);WC6(1,2);BC2(0,2)"
white,5,"WC6(2,2);BC2(1,1);WC1(1,2);BC3(2,0);WC2(0,2)"
white,7,"WC2(1,0);BC1(2,0);WC4(0,0);BC3(0,2);WC1(1,1);BC2(2,2);WC6(1,2)"
white,5,"WC2(2,0);BC2(0,2);WC4(2,1);BC3(1,2);WC1(2,2)"
white,5,"WC1(2,2);BC5(1,1);WC4(1,2);BC1(2,1);WC2(0,2)"
white,5,"WC2(0,2);BC2(1,0);WC1(2,2);BC3(1,1);WC4(1,2)"
black,6,"WC2(1,1);BC3(0,2);WM2(1,1)-(2,1);BC2(2,0);WC1(0,0);BC1(1,1)"
black,8,"WC6(2,2);BC2(0,2);WM6(2,2)-(1,2);BC3(0,0);WC2(0,1);BC1(1,0);WM2(0,1)-(1,1);BC2(0,1)"
white,7,"WC2(1,0);BC3(2,0);WC1(0,2);BC2(1,2);WM2(1,0)-(0,0);BC3(1,0);WC4(0,1)"
white,5,"WC6(2,2);BC3(0,2);WC4(2,1);BC2(1,2);WC1(2,0)"
white,7,"WC2(1,2);BC3(1,1);WC6(2,2);BC2(0,2);WC1(2,0);BM3(1,1)-(1,0);WC4(2,1)"
white,5,"WC4(1,0);BC5(0,1);WC6(0,0);BC2(0,2);WC1(2,0)"
white,5,"WC2(2,2);BC2(1,2);WC6(0,0);BC2(1,0);WC1(1,1)"
black,8,"WC6(2,0);BC2(1,0);WC2(1,2);BC3(0,2);WM2(1,2)-(1,1);BM2(1,0)-(0,0);WC4(2,2);BC1(0,1)"
black,6,"WC4(2,2);BC3(2,0);WC1(1,0);BC2(1,1);WC2(2,1);BC1(0,2)"
white,5,"WC6(1,0);BC1(2,1);WC4(2,0);BC2(1,2);WC1(0,0)"
black,8,"WC1(1,0);BC2(0,2);WM1(1,0)-(0,0);BC5(1,0);WC6(0,1);BC3(1,2);WM6(0,1)-(0,2);BC1(1,1)"
white,5,"WC2(1,2);BC2(1,0);WC1(0,2);BC1(0,0);WC4(2,2)"
white,5,"WC6(0,2);BC3(1,0);WC1(0,0);BC3(1,2);WC2(0,1)"
black,12,"WC1(1,2);BC1(0,2);WC2(0,1);BC3(2,1);WC6(1,1);BC2(1,0);WM6(1,1)-(0,1);BC2(0,0);WM6(0,1)-(0,0);BC3(2,2);WM1(1,2)-(1,1);BC5(1,2)"
white,7,"WC4(2,2);BC2(1,2);WC2(0,2);BC3(0,0);WC6(1,1);BC3(1,0);WC1(2,0)"
white,7,"WC1(0,1);BC3(0,0);WC4(1,1);BC1(2,1);WC6(1,0);BC3(2,2);WC2(1,2)"
white,5,"WC1(0,0);BC3(1,2);WC6(1,0);BM3(1,2)-(2,2);WC2(2,0)"
white,5,"WC6(0,1);BC2(2,0);WC4(0,2);BC2(2,2);WC1(0,0)"
black,6,"WC6(0,0);BC3(2,0);WC2(2,2);BC3(1,1);WC1(0,1);BC1(0,2)"
white,9,"WC6(0,2);BC1(1,2);WC2(1,0);BC3(0,1);WC4(2,1);BC3(0,0);WM4(2,1)-(1,1);BC2(2,1);WC1(2,0)"
white,5,"WC2(2,1);BC3(1,1);WC1(2,0);BM3(1,1)-(1,0);WC4(2,2)"
white,9,"WC1(0,0);BC5(1,0);WC4(0,1);BC2(0,2);WC2(2,0);BC3(2,1);WC6(1,1);BC1(1,2);WM4(0,1)-(0,2)"
